1507787389915	addons.xpi	ERROR	Failed to clean updated system add-ons directories.
1507789065415	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Refined GitHub (version=17.10.8.1623, id={a4c4eda4-fb84-4a84-b4a1-f7c1cbf2a1ad})
1507789065415	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Shield Recipe Client (version=65.1, id=shield-recipe-client@mozilla.org)
1507789065415	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Dark Fox (version=0, id=18066@personas.mozilla.org)
1507789065416	Sync.AddonsReconciler	DEBUG	Rectifying state for addon little flowers (version=1.0, id=60179@personas.mozilla.org)
1507789065416	Sync.AddonsReconciler	DEBUG	Rectifying state for addon ANIMATED HALLOWEEN NIGHT (version=1.0, id=344682@personas.mozilla.org)
1507789065417	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Clouds17-1 (version=1.0, id=850379@personas.mozilla.org)
1507789065417	Sync.AddonsReconciler	DEBUG	Rectifying state for addon A Web Browser Renaissance (version=0, id=recommended-1@personas.mozilla.org)
1507789065418	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Space Fantasy (version=1.0, id=recommended-2@personas.mozilla.org)
1507789065418	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Compact Light (version=, id=firefox-compact-light@mozilla.org@personas.mozilla.org)
1507789065418	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Compact Dark (version=, id=firefox-compact-dark@mozilla.org@personas.mozilla.org)
1507789065418	Sync.AddonsReconciler	DEBUG	Rectifying state for addon OpenH264 Video Codec provided by Cisco Systems, Inc. (version=1.6, id=gmp-gmpopenh264)
1507789065419	Sync.AddonsReconciler	DEBUG	Rectifying state for addon Shockwave Flash (version=27.0.0.159, id=Shockwave FlashShockwave Flash 27.0 r0)
1507789065432	Sync.AddonsReconciler	INFO	Saving reconciler state to file: addonsreconciler
1507789065439	Sync.Store.Addons	DEBUG	clicktoplay-rollout@mozilla.org not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	shield-recipe-client@mozilla.org not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	followonsearch@mozilla.com not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	firefox-compact-light@mozilla.org@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	firefox-compact-dark@mozilla.org@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065439	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065440	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065440	Sync.Store.Addons	DEBUG	followonsearch@mozilla.com not syncable: vetoed by the addon manager.
1507789065440	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065440	Sync.Store.Addons	DEBUG	{6c05dc9d-bf02-9ece-49d3-30aba1586653} not syncable: type not in whitelist: plugin
1507789065440	Sync.Store.Addons	DEBUG	{ab38890a-81e4-0d06-4142-0807d9cff7b8} not syncable: type not in whitelist: plugin
1507789065440	Sync.Store.Addons	DEBUG	clicktoplay-rollout@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	followonsearch@mozilla.com not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	onboarding@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	clicktoplay-rollout@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	e10srollout@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	followonsearch@mozilla.com not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	onboarding@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	clicktoplay-rollout@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	e10srollout@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	followonsearch@mozilla.com not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	onboarding@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	screenshots@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	{6c05dc9d-bf02-9ece-49d3-30aba1586653} not syncable: type not in whitelist: plugin
1507789065441	Sync.Store.Addons	DEBUG	{6c05dc9d-bf02-9ece-49d3-30aba1586653} not syncable: type not in whitelist: plugin
1507789065441	Sync.Store.Addons	DEBUG	formautofill@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	activity-stream@mozilla.org not syncable: vetoed by the addon manager.
1507789065441	Sync.Store.Addons	DEBUG	Shockwave FlashShockwave Flash 27.0 r0 not syncable: type not in whitelist: plugin
1507789065441	Sync.Store.Addons	DEBUG	{6c05dc9d-bf02-9ece-49d3-30aba1586653} not syncable: type not in whitelist: plugin
1507789065442	Sync.Store.Addons	DEBUG	850379@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	{972ce4c6-7e08-4474-a285-3208198ce6fd} not syncable: not installed in profile.
1507789065442	Sync.Store.Addons	DEBUG	850379@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	344682@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	850379@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	344682@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	60179@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	344682@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	60179@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	18066@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	60179@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Store.Addons	DEBUG	18066@personas.mozilla.org not syncable: vetoed by the addon manager.
1507789065442	Sync.Engine.Addons	INFO	0 outgoing items pre-reconciliation
1507789065444	Sync.Engine.Addons	INFO	Records: 0 applied, 0 successfully, 0 failed to apply, 0 newly failed to apply, 0 reconciled.
1507789065444	Sync.Telemetry	TRACE	observed weave:engine:sync:applied addons
1507789065446	Sync.Telemetry	TRACE	observed weave:engine:sync:finish addons
1507789065446	Sync.Telemetry	TRACE	observed weave:engine:sync:start forms
1507789065447	Sync.Engine.Forms	INFO	0 outgoing items pre-reconciliation
1507789065448	Sync.Engine.Forms	INFO	Records: 0 applied, 0 successfully, 0 failed to apply, 0 newly failed to apply, 0 reconciled.
1507789065449	Sync.Telemetry	TRACE	observed weave:engine:sync:applied forms
1507789065450	Sync.Telemetry	TRACE	observed weave:engine:sync:finish forms
1507789065450	Sync.Telemetry	TRACE	observed weave:engine:sync:start history
1507789065454	Sync.Engine.History	INFO	20 outgoing items pre-reconciliation
1507789065456	Sync.Engine.History	INFO	Records: 0 applied, 0 successfully, 0 failed to apply, 0 newly failed to apply, 0 reconciled.
1507789065456	Sync.Telemetry	TRACE	observed weave:engine:sync:applied history
1507789065510	Sync.Engine.History	INFO	Posting 20 records of 12179 bytes with batch=true
1507789065510	Sync.BrowserIDManager	DEBUG	_ensureValidToken already has one
1507789065511	Sync.Collection	DEBUG	POST Length: 12179
1507789065864	Sync.Collection	DEBUG	mesg: POST success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/storage/history?batch=true&commit=true
1507789065865	Sync.Collection	DEBUG	POST success 200 https://sync-438-us-west-2.sync.services.mozilla.com/1.5/64110830/storage/history?batch=true&commit=true
1507789065867	Sync.Telemetry	TRACE	observed weave:engine:sync:uploaded history
1507789065868	Sync.Telemetry	TRACE	observed weave:engine:sync:finish history
1507789065868	Sync.Telemetry	TRACE	observed weave:engine:sync:start extension-storage
1507789065868	Sync.Engine.Extension-Storage	DEBUG	Syncing extension settings for []
1507789065869	Sync.Telemetry	TRACE	observed weave:engine:sync:finish extension-storage
1507789065870	Sync.Doctor	INFO	Skipping check of prefs - disabled via preferences
1507789065870	Sync.Doctor	INFO	Skipping check of passwords - disabled via preferences
1507789065870	Sync.Doctor	INFO	Skipping check of tabs - disabled via preferences
1507789065870	Sync.Doctor	INFO	Skipping check of bookmarks - disabled via preferences
1507789065870	Sync.Doctor	INFO	Skipping check of addons - disabled via preferences
1507789065870	Sync.Doctor	INFO	Skipping check of forms - disabled via preferences
1507789065871	Sync.Doctor	INFO	Skipping check of history - disabled via preferences
1507789065871	Sync.Doctor	INFO	Skipping check of extension-storage - disabled via preferences
1507789065871	Sync.Doctor	INFO	Skipping validation: no engines qualify
1507789065871	Sync.Status	DEBUG	Status.sync: success.sync => success.sync
1507789065871	Sync.Status	DEBUG	Status.service: success.status_ok => success.status_ok
1507789065872	Sync.Synchronizer	INFO	Sync completed at 2017-10-12 11:47:45 after 3.73 secs.
1507789065874	Sync.Declined	DEBUG	Handling remote declined: []
1507789065874	Sync.Declined	DEBUG	Handling local declined: []
1507789065875	Sync.Declined	DEBUG	Declined changed? false
1507789065875	Sync.Service	INFO	No change to declined engines. Not reuploading meta/global.
1507789065878	Sync.Telemetry	TRACE	observed weave:service:sync:finish 
1507789065886	Sync.ErrorHandler	DEBUG	Addons installed: 3
1507789065887	Sync.ErrorHandler	DEBUG	 - Adblock Plus, version 2.9.1, id {d10d0bf8-f5b5-c8b4-a8b2-2b9879e08c5d}
1507789065887	Sync.ErrorHandler	DEBUG	 - Ubuntu Modifications, version 3.4, id ubufox@ubuntu.com
1507789065887	Sync.ErrorHandler	DEBUG	 - Refined GitHub, version 17.10.8.1623, id {a4c4eda4-fb84-4a84-b4a1-f7c1cbf2a1ad}
